"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000204165",52.5679959560683,3.67448269963233,0.551805250428877,4.84678733584658,1.25476806024964e-06,0.000272366501773753,"CXorf65"
"ENSG00000127561",84.1376547666366,2.92706676275448,0.397833941301072,4.84389732171222,1.27316744596372e-06,0.000272412363170308,"SYNGR3"
"ENSG00000130475",543.555010325197,3.42639355518556,0.500853380041908,4.84451867926405,1.26918977924488e-06,0.000272412363170308,"FCHO1"
"ENSG00000260682",517.28110335594,2.48481106802568,0.306964376132025,4.83707942509611,1.31760788357996e-06,0.000279921589735019,"RN7SKP176"
"ENSG00000126787",69.1094835300397,3.68900284816136,0.55728404281472,4.82519261556421,1.39868027222956e-06,0.000295052588412933,"DLGAP5"
"ENSG00000159958",207.520879940935,5.33375595539734,0.898745745074288,4.82200442021467,1.42122795589282e-06,0.000297712471459925,"TNFRSF13C"
"ENSG00000227217",3.85443147911332,6.01314163965657,1.04723322585658,4.78703455532179,1.69263699410468e-06,0.000352103758044484,"RP11-367J7.3"
"ENSG00000185155",30.1888237798778,4.32499502803014,0.695100763863225,4.78347198117077,1.72292917809206e-06,0.000353495503628409,"MIXL1"
"ENSG00000163599",460.088910366861,3.93501399954098,0.613412257752705,4.78473320747401,1.71214601069765e-06,0.000353495503628409,"CTLA4"
"ENSG00000177699",7.60294369016063,5.10328766472972,0.858603225955927,4.77902661052935,1.76145882673882e-06,0.000358942171122186,"RP11-16K12.1"
"ENSG00000167077",475.034611972735,3.09513609529738,0.43914536021493,4.77093984158677,1.83368304802883e-06,0.000371134970970969,"MEI1"
"ENSG00000235101",4.90322306309286,5.42255944611061,0.928198502021521,4.76466988093466,1.89163088734803e-06,0.00038029398141282,"SETP9"
"ENSG00000226945",32.0360535068035,3.62215121504888,0.550888762593274,4.7598560600606,1.93731072294921e-06,0.000386880951372956,"RP11-564A8.4"
"ENSG00000160856",965.562496981805,4.77903447944507,0.794578629054317,4.75602330752686,1.97443683884594e-06,0.00039168381130881,"FCRL3"
"ENSG00000246582",63.9611160353924,2.727087876026,0.363501176908411,4.75125800338512,2.02154994678627e-06,0.000393520979619383,"RP11-1149O23.3"
"ENSG00000254838",1636.20046119647,2.95297505875342,0.411007379119975,4.75167882127815,2.01734635969212e-06,0.000393520979619383,"GVINP1"
"ENSG00000267521",6.00794489173713,6.69381873860688,1.19842061319616,4.75110213885725,2.02310902558454e-06,0.000393520979619383,"RP11-87G24.6"
"ENSG00000146094",1215.99468569112,2.8300559006261,0.385304283306618,4.74963809101956,2.03781006364951e-06,0.000393823228752393,"DOK3"
"ENSG00000143119",3340.17141142656,3.17524080793189,0.459104384762934,4.73800921996228,2.15827995054855e-06,0.000414431255888986,"CD53"
"ENSG00000132704",786.205547357976,5.60444280838097,0.972691730151932,4.73371230128765,2.20450146159982e-06,0.000415319756491967,"FCRL2"
"ENSG00000167208",384.45912361387,3.30746187765504,0.487403200320959,4.73419517175013,2.19926024541028e-06,0.000415319756491967,"SNX20"
"ENSG00000205744",1858.55905167109,2.72081066868127,0.363390283710214,4.73543390074108,2.18586938955658e-06,0.000415319756491967,"DENND1C"
"ENSG00000122188",275.997995546439,3.93380373965192,0.621163174358886,4.72308060225874,2.32298728288656e-06,0.000434906775367918,"LAX1"
"ENSG00000196092",581.205249356956,5.72762325642493,1.00211356957968,4.71765217031025,2.38581939246757e-06,0.000443895775784882,"PAX5"
"ENSG00000226423",6.09692398157446,6.38134740641278,1.14172018547036,4.71336801687169,2.4365556448753e-06,0.00044805104407679,"AC093642.4"
"ENSG00000271046",40.7974538477052,6.25662759404839,1.11558411729987,4.7119957271993,2.45302524548802e-06,0.00044805104407679,"RP11-138I18.2"
"ENSG00000166707",169.802842549639,2.71815324886279,0.3646158693486,4.71222838416862,2.45022549837714e-06,0.00044805104407679,"ZCCHC18"
"ENSG00000238121",237.696728326758,3.26283113689743,0.481731981108508,4.69728235956112,2.63645870871721e-06,0.000478637094664388,"LINC00426"
"ENSG00000170486",86.132423612784,4.41026303980623,0.726656733393983,4.69308668465505,2.69113389662775e-06,0.000485619975141472,"KRT72"
"ENSG00000188452",424.904511913331,2.87053058089281,0.399403597196288,4.68330929922379,2.82280072079616e-06,0.000506329314918855,"CERKL"
"ENSG00000105122",2815.40779143908,2.89868733285041,0.40585763078707,4.67821026099308,2.89389719437393e-06,0.000515992205103995,"RASAL3"
"ENSG00000184293",85.2884207022365,3.90108787420462,0.621372718069303,4.66883689908166,3.02909730782381e-06,0.000535360751749131,"CLECL1"
"ENSG00000100055",1439.18395696657,2.81153445062797,0.388057143767429,4.66821569895815,3.03826832907202e-06,0.000535360751749131,"CYTH4"
"ENSG00000153898",293.979098219097,3.18605131361465,0.46979963077187,4.65315672986592,3.26891587418243e-06,0.00057263377199494,"MCOLN2"
"ENSG00000112486",260.093955724554,2.59957113272036,0.34407898922412,4.64884861562548,3.33793077993096e-06,0.000579011386705156,"CCR6"
"ENSG00000072818",3060.51518285702,3.09780207453249,0.451288235533876,4.64847498639264,3.34398163578675e-06,0.000579011386705156,"ACAP1"
"ENSG00000181847",568.074632014223,3.75721367691592,0.59337465586873,4.64666572737123,3.37343135232686e-06,0.000580753656085926,"TIGIT"
"ENSG00000007968",159.08576455049,2.88321845576211,0.405635640962184,4.64263557140848,3.43992778992251e-06,0.000588817353983594,"E2F2"
"ENSG00000204282",1032.11956134914,2.68032354039497,0.362165199141159,4.63966042121026,3.48982145006927e-06,0.000593963645095596,"TNRC6C-AS1"
"ENSG00000241163",50.044898086319,4.09811676867291,0.669415035634729,4.62809558159286,3.69043693250389e-06,0.000621050777040191,"LINC00877"
"ENSG00000110680",3892.09249513117,-7.96590250721756,1.50483428343095,-4.62901635343902,3.67406756493428e-06,0.000621050777040191,"CALCA"
"ENSG00000186810",238.527914135791,3.38473430810978,0.515894571023046,4.62252258902575,3.79101514953838e-06,0.000634412619019118,"CXCR3"
"ENSG00000227507",972.729545361958,4.61844403888944,0.78368904347268,4.61719360379903,3.88964359285436e-06,0.00064730152124418,"LTB"
"ENSG00000214894",27.3666088849046,4.02926396328477,0.656469550519452,4.61447748930285,3.94085482652805e-06,0.000652200587451093,"LINC00243"
"ENSG00000110934",1008.21659169351,2.80625914910276,0.39173522313891,4.61091840205101,4.00893886897724e-06,0.000659822878133039,"BIN2"
"ENSG00000148773",558.1752376467,3.52133700657905,0.547683350495769,4.60364004912092,4.15169781428644e-06,0.000679585289764756,"MKI67"
"ENSG00000163534",1062.85700726932,5.83132994770914,1.04977710568792,4.60224358250142,4.17963977057594e-06,0.000680440811563056,"FCRL1"
"ENSG00000152495",484.937060660478,3.33534350624397,0.507706853182236,4.59978724259159,4.22922660002254e-06,0.000684791798938785,"CAMK4"
"ENSG00000051341",81.4090171047282,3.27903030637141,0.496055715807109,4.59430308682827,4.34197913668494e-06,0.000696179098863017,"POLQ"
"ENSG00000196104",23.1744359879496,4.29133313504783,0.716424796119308,4.59410834588103,4.34603543606691e-06,0.000696179098863017,"SPOCK3"
"ENSG00000205784",46.9115322541009,3.47694346013044,0.540419227271393,4.58337404580638,4.57532526756814e-06,0.000729009938244699,"ARRDC5"
"ENSG00000214797",19.4962945268566,4.30354536962506,0.721420722732537,4.57922161857531,4.66709492283536e-06,0.000735804360071227,"RP11-1036E20.9"
"ENSG00000179715",722.289929671727,2.54241944812301,0.336797801054833,4.57966009069011,4.6573219467599e-06,0.000735804360071227,"PCED1B"
"ENSG00000109805",87.7337106710769,3.2426552942806,0.490681040234905,4.57049510860856,4.86573279552306e-06,0.000763104847591063,"NCAPG"
